Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Aesthetic_Appeal,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,0.0054502535563651635
Control,Aesthetic_Appeal,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,0.025101926637938247
Control,Creativity,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,7.528793922548164e-05
Control,Creativity,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,0.0018047495843353965
Control,Creativity,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,-0.0006360262505298762
Control,Creativity,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,0.0011872410251416274
Control,Creativity,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,0.00018886186790372422
Control,Creativity,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,0.0025053124269449937
Control,Creativity,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,0.0024928691625737943
Control,Creativity,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,0.0018525840868324236
Control,Creativity,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,0.0003745213662155465
Control,Creativity,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,-0.000260967659507897
Control,Creativity,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,-6.660884268507708e-06
Control,Creativity,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,0.022778230507237304
Control,Creativity,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,0.00010899854724159362
Control,Creativity,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.0005644883841585501
Control,Creativity,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,2.4681628506036765e-05
Control,Creativity,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,0.0014029081246461732
Control,Creativity,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-0.0009288565316638416
Control,Creativity,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,0.0001957107610832707
Control,Creativity,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,0.00047277692471526384
Control,Creativity,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.00014878788095271502
Control,Creativity,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,0.002730017028268372
Control,Creativity,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-0.011140990665977624
Control,Creativity,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,0.0003474738287652682
Control,Creativity,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-0.0020618112127109944
Control,Creativity,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,0.0003666830881719773
Control,Creativity,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,0.00025501132888598076
Control,Creativity,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,0.009114904881180443
Control,Creativity,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,1.2576663596958594e-05
Control,Creativity,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,-0.0033306421897415367
Control,Creativity,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,0.0002105643162784088
Control,Creativity,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,9.894455344422661e-05
