Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Control,Creativity,"CL1_(0, 5)_delta",0.3591741488529927,4.14114423170854e-07,0.3591741488529927,CL1,"(0, 5)",delta,Linear,LightGBM,0.0018525840868324236
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",0.1011549424983097,0.2652269316672201,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-0.001135380788569298
Haiku,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.2541944758077418,0.0057196807982303,0.2541944758077418,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.06082350542151274
Haiku,Moved,"CL1_(0, 5)_lower gamma",0.2533012549463475,0.1087046338384068,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.000618241699211392
Haiku,Originality,"CL1_(0, 5)_lower gamma",0.0527918387034711,0.7427379932084761,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.005204801857324157
Haiku,Creativity,"CL1_(0, 5)_lower gamma",0.2343597427686224,0.143333320315864,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.001407057809159788
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",-0.1657382121300022,0.2590683020021932,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.01575542764379152
Senryu,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.0900047376203118,0.5377832379511349,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-0.0019598936436675827
Senryu,Moved,"CL1_(0, 5)_lower gamma",-0.1601547795729488,0.0539417582952847,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-3.579320248140229e-05
Senryu,Originality,"CL1_(0, 5)_lower gamma",-0.0768748048512127,0.3562211852827094,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.00020423475396004188
Senryu,Creativity,"CL1_(0, 5)_lower gamma",0.0122484335797508,0.9329459435775724,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.0014860726489289526
Control,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",0.0520417553804712,0.5378320541079026,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.008469562830959317
Control,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.1651605790488539,0.0499503231181047,0.1651605790488539,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-0.00019548119869441623
