Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Creativity,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,-3.2881359562508528
Control,Creativity,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,1.3579463734222041
Control,Creativity,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,0.25714131849667016
Control,Creativity,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,16.67621767259258
Control,Creativity,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,-1.1099852031708024
Control,Creativity,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,1.0177947494845125
Control,Creativity,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,-2.6954635229001407
Control,Creativity,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,-0.7056810353891848
Control,Creativity,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,66.30770051266613
Control,Creativity,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,0.19499219782829805
Control,Creativity,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,-0.1895866460723358
Control,Creativity,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,-0.9384945470520127
Control,Creativity,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,1.1785352388028862
Control,Creativity,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,22.240545537735347
Control,Creativity,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.8466420685892377
Control,Creativity,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,-0.1752547259190968
Control,Creativity,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-1.7996778417641752
Control,Creativity,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,1.7979993856563852
