Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_theta",0.0561993415266965,0.5507437070520056,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,3.292666305997262
Haiku,Vivid_Imagery,"CL1_(-4, 0)_theta",0.0509199656910009,0.3421078343365898,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,145.47258542348692
Haiku,Moved,"CL1_(-4, 0)_theta",0.0330107795898255,0.7184607069380142,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,-0.6821337775632231
Haiku,Originality,"CL1_(-4, 0)_theta",0.0592549153917454,0.5196062973145726,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,-3.311724302436302
Haiku,Creativity,"CL1_(-4, 0)_theta",0.0760894680642328,0.4064673328913525,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,19.55881227216619
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_theta",0.1620924964269214,0.0649088448268682,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,2.518725136174002
Senryu,Vivid_Imagery,"CL1_(-4, 0)_theta",-0.0272560659717235,0.7421085461467829,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.12804640054380678
Senryu,Moved,"CL1_(-4, 0)_theta",-0.0265147201504536,0.5983279767583531,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,4.818818419916732
Senryu,Originality,"CL1_(-4, 0)_theta",-0.0592751246111349,0.5005852109845581,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.48891779588500167
Senryu,Creativity,"CL1_(-4, 0)_theta",0.0538837774793738,0.5443010549393574,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.0
Control,Aesthetic_Appeal,"CL1_(-4, 0)_theta",-0.0005411167475575,0.9906358301104948,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,1.8700462424393796
Control,Vivid_Imagery,"CL1_(-4, 0)_theta",0.0889969866853296,0.0430566038979756,0.0889969866853296,CL1,"(-4, 0)",theta,Linear,LightGBM,7.8967583559982115
Control,Moved,"CL1_(-4, 0)_theta",-0.0050034887702504,0.9150306939989744,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,1.0037618314161085
Control,Originality,"CL1_(-4, 0)_theta",0.0735757785194501,0.1069977522189875,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,9.293903897709468
Control,Creativity,"CL1_(-4, 0)_theta",0.0814625533341188,0.0794848753235405,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.6213555454032527
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_alpha",0.2782083262718319,0.0044825334976175,0.2782083262718319,CL1,"(0, 5)",alpha,Linear,LightGBM,3.38607404395972
Haiku,Vivid_Imagery,"CL1_(0, 5)_alpha",0.1495049719270793,0.0093009014318178,0.1495049719270793,CL1,"(0, 5)",alpha,Linear,LightGBM,75.44378430020429
Haiku,Moved,"CL1_(0, 5)_alpha",0.1043641810925857,0.283379347915396,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,0.2660470066309321
Haiku,Originality,"CL1_(0, 5)_alpha",0.2200194116171972,0.0244511439674591,0.2200194116171972,CL1,"(0, 5)",alpha,Linear,LightGBM,-13.348225112828748
Haiku,Creativity,"CL1_(0, 5)_alpha",0.2261096272935028,0.0194222961015637,0.2261096272935028,CL1,"(0, 5)",alpha,Linear,LightGBM,-0.6079592763095847
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_alpha",-0.181396795845511,0.1136226907695379,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,3.7841775803778495
Senryu,Vivid_Imagery,"CL1_(0, 5)_alpha",-0.1856487667677176,0.1030712883983376,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,0.23047320125670662
Senryu,Moved,"CL1_(0, 5)_alpha",-0.1957363502794313,0.0027632462889366,-0.1957363502794313,CL1,"(0, 5)",alpha,Linear,LightGBM,1.938743798081723
Senryu,Originality,"CL1_(0, 5)_alpha",-0.078018182917004,0.4973459211505233,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,18.187527111639
Senryu,Creativity,"CL1_(0, 5)_alpha",-0.0362431150608659,0.7512617838735014,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,-8.28211179816922
Control,Aesthetic_Appeal,"CL1_(0, 5)_alpha",-0.0776080258734534,0.222535653904818,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,47.90686874873618
Control,Vivid_Imagery,"CL1_(0, 5)_alpha",-0.0174230552057927,0.7815311718226174,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,-0.11112391086697694
Control,Moved,"CL1_(0, 5)_alpha",-0.1259440663324134,0.0526493234625487,0.0,CL1,"(0, 5)",alpha,Linear,LightGBM,-40.33728354256957
Control,Originality,"CL1_(0, 5)_alpha",-0.1545840132459265,0.0166862077125427,-0.1545840132459265,CL1,"(0, 5)",alpha,Linear,LightGBM,1.7177463760692913
Control,Creativity,"CL1_(0, 5)_alpha",-0.1810335569939236,0.0053640809001265,-0.1810335569939236,CL1,"(0, 5)",alpha,Linear,LightGBM,8.242477884649029
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_beta",-0.1011426261205356,0.5196516475128663,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,0.0
Haiku,Vivid_Imagery,"CL1_(0, 5)_beta",-0.1078465303863747,0.2414608516984205,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,176.40922162899156
Haiku,Moved,"CL1_(0, 5)_beta",-0.0527508380960461,0.733571885713787,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,0.14565653306798654
Haiku,Originality,"CL1_(0, 5)_beta",-0.0283295117061993,0.8576705013676024,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,22.7517777657441
Haiku,Creativity,"CL1_(0, 5)_beta",-0.159811430928822,0.3063342881555212,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-2.542448382497407
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_beta",0.3727891657856311,0.0113439173143995,0.3727891657856311,CL1,"(0, 5)",beta,Linear,LightGBM,4.163312729409422
Senryu,Vivid_Imagery,"CL1_(0, 5)_beta",0.0347806409813957,0.8113765713722945,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,1.6149508964316213
Senryu,Moved,"CL1_(0, 5)_beta",0.1722393602475788,0.040473649598345,0.1722393602475788,CL1,"(0, 5)",beta,Linear,LightGBM,1.0324354660379569
Senryu,Originality,"CL1_(0, 5)_beta",0.1698782975060249,0.2488505523868689,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,4.537145887451569
Senryu,Creativity,"CL1_(0, 5)_beta",0.1170702046384754,0.4194282728032296,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-1.1190719817314647
Control,Aesthetic_Appeal,"CL1_(0, 5)_beta",0.1987631254917286,0.0225580003934756,0.1987631254917286,CL1,"(0, 5)",beta,Linear,LightGBM,-6.589231539305057
Control,Vivid_Imagery,"CL1_(0, 5)_beta",-0.1004239021692346,0.2445886593878511,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,0.3072748721180726
Control,Moved,"CL1_(0, 5)_beta",0.0389194949903515,0.6613488098583629,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-6.405882451249781
Control,Originality,"CL1_(0, 5)_beta",0.2383186560173853,0.0069949941714204,0.2383186560173853,CL1,"(0, 5)",beta,Linear,LightGBM,-4.303397669583638
Control,Creativity,"CL1_(0, 5)_beta",0.2041409480496745,0.0218527983212074,0.2041409480496745,CL1,"(0, 5)",beta,Linear,LightGBM,8.201539544867783
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_delta",-0.1519760579213504,0.0970241993915315,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,-4.037384184201383
Haiku,Vivid_Imagery,"CL1_(0, 5)_delta",-0.1055688625633639,0.0444382842707185,-0.1055688625633639,CL1,"(0, 5)",delta,Linear,LightGBM,10.752454043710072
Haiku,Moved,"CL1_(0, 5)_delta",0.0022401146260193,0.9806013109521112,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,1.1181433080400716
Haiku,Originality,"CL1_(0, 5)_delta",0.0030411973293165,0.9731574784884056,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,79.55252087992176
Haiku,Creativity,"CL1_(0, 5)_delta",0.1207932895196372,0.1755481346136724,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,-2.773106958910071
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_delta",0.1679968311911956,0.0320106413722641,0.1679968311911956,CL1,"(0, 5)",delta,Linear,LightGBM,2.620084372772446
Senryu,Vivid_Imagery,"CL1_(0, 5)_delta",-0.0458061983614384,0.5533209173067128,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0
Senryu,Moved,"CL1_(0, 5)_delta",0.00376141979157,0.9321893835118924,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,7.485635413060062
Senryu,Originality,"CL1_(0, 5)_delta",0.0632352752653562,0.4124579866939475,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,4.951693788180091
Senryu,Creativity,"CL1_(0, 5)_delta",0.118200944053409,0.1229835029557652,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,15.842064622143134
Control,Aesthetic_Appeal,"CL1_(0, 5)_delta",0.1200273935267376,0.0032099585740191,0.1200273935267376,CL1,"(0, 5)",delta,Linear,LightGBM,14.541507064684678
Control,Vivid_Imagery,"CL1_(0, 5)_delta",0.0040821268335784,0.9193414525370798,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0675318909943173
Control,Moved,"CL1_(0, 5)_delta",0.1536620690967802,0.0002161269629052,0.1536620690967802,CL1,"(0, 5)",delta,Linear,LightGBM,0.09057022875217564
Control,Originality,"CL1_(0, 5)_delta",0.1591672729435493,0.00011387914953,0.1591672729435493,CL1,"(0, 5)",delta,Linear,LightGBM,-0.005633998861650975
Control,Creativity,"CL1_(0, 5)_delta",0.1850590606295754,8.358557244887273e-06,0.1850590606295754,CL1,"(0, 5)",delta,Linear,LightGBM,6.095001645678674
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",0.2058966665850924,0.1921651499901853,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-3.7354027943929906
Haiku,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.2541944758077418,0.0057196807982303,0.2541944758077418,CL1,"(0, 5)",lower gamma,Linear,LightGBM,200.10933283677693
Haiku,Moved,"CL1_(0, 5)_lower gamma",0.2533012549463475,0.1087046338384068,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.5101912382491236
Haiku,Originality,"CL1_(0, 5)_lower gamma",0.0527918387034711,0.7427379932084761,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,17.12379811059648
Haiku,Creativity,"CL1_(0, 5)_lower gamma",0.2750220703607298,0.0855739447079477,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,4.629220192135702
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",-0.1657382121300022,0.2590683020021932,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,2.6029424308109115
Senryu,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.0776256884318861,0.5956345021805528,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,-6.448050087666347
Senryu,Moved,"CL1_(0, 5)_lower gamma",-0.2187070232709325,0.0085052569240335,-0.2187070232709325,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.1129988997601744
Senryu,Originality,"CL1_(0, 5)_lower gamma",-0.1068810274307778,0.4690363252649864,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,0.6719323405285378
Senryu,Creativity,"CL1_(0, 5)_lower gamma",-0.0250603036545146,0.8630791820192159,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,4.889179014976254
Control,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",0.0520417553804712,0.5378320541079026,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,27.864861713856154
Control,Vivid_Imagery,"CL1_(0, 5)_lower gamma",0.274162290196328,0.0011310819138442,0.274162290196328,CL1,"(0, 5)",lower gamma,Linear,LightGBM,5.514770663895596
Control,Moved,"CL1_(0, 5)_lower gamma",0.0161252503251464,0.8508898001754579,0.0,CL1,"(0, 5)",lower gamma,Linear,LightGBM,9.209191567752079
